L_Come;L_Interlocut;Customer Account # / Cliente;Customer Name/Solic;Customer Name2;RUTA VENTA;City;Calle;LATITUT;LONGITUTD;FRECUENCIA
FSE;204622;11740630;DEL CAMPO CHICKEN & GRILL SAC;;ZBN;LA MOLINA;CA CENTRAL MZ G LT 4 URB. LOS GIRAS;-12.1074514;-76.9418079;XS
FSE;204622;11634529;CHUNGA SANCHEZ MARTIN ALONSO;PIZZA FLOW;KE9;LA MOLINA;CA SAN JOSE DE OLLEROS MZ F1 LT 28;-12.1022471;-76.9365273;XS
FSE;204622;11649869;SAN ANTONIO DE FERRERO SAC;SAN ANTONIO;KG3;LA MOLINA;AV LOS  CAOBOS 360;-12.09071;-76.95146;XS
FSE;204622;11699826;FUNDOS ZEVALLOS SAC;CANASTAS MOLINA;ZAY;LA MOLINA;CAL.LOS MOLINOS DE SAN MIGUEL 171 D;-12.1032746;-76.9331218;XS
FSE;204622;11678463;INVERSIONES EL PANCITO SAC;FARINA E NINA;ZBN;LA MOLINA;CA LA ARBOLEDA 230 URB LA PLANICIE;-12.0934681;-76.9488434;XS
FSE;204622;11690133;CONSORCIO MEDITERRANEO SAC;DON BUFFET - MEDITERRANEO;ZCE;LA MOLINA;ALM DEL CORREGIDOR MZ D2 LT 1;-12.0913449;-76.9531499;XS
FSE;204622;6340365;GRUPO ONCE SAC;LA MOLINA;KG3;LA MOLINA;ESQUINA JR. LAS CAOBAS CON BAMBUES;-12.09161;-76.95133;XS
FSE;204622;6426651;FRANQUICIAS LA MOLINA SAC;;KG3;LA MOLINA;AV RAUL FERRERO 1205 INT 6;-12.0899;-76.95135;XS
FSE;204622;11625308;TORRES HERRERA CLAUDIA;;ZCE;LA MOLINA;CA LA CORDILLERA 598 DPTO 201;-12.0954986;-76.9528701;XS
FSE;204622;6346591;COESTI SA;FERRERO;ZBO;LA MOLINA;AV ALAMEDA DEL CORREGIDOR 1195;-12.09352;-76.95429;XS
FSE;204622;11569943;PASTIFICIO CLASSICO SAC;LA MOLINA;ZBO;LA MOLINA;CA BAMBUES 401;-12.09248;-76.951;XS
FSE;204622;11643863;MENDOZA BELAUNDE MARIA JOSE;;ZBN;LA MOLINA;CA ORION 133;-12.1129676;-76.9406494;XS
FSE;204622;11633147;BALDEON CURIÃ‘AUPA FIORELLA LIS;.;ZBN;LA MOLINA;AV ALAMEDA DEL CORREGIDOR 350 LA M;-12.0807416;-76.9557946;XS
MOD;204622;11746816;CORPORACION VEGA SAC;VEGA MKT LA MOLINA;ZBP;LA MOLINA;AV DE LOS CONDORES MZ A LT 6;-12.10113;-76.9441;XS
MOD;204622;11736516;TIENDAS TAMBO SAC;TAMBO CONDORES-C5;ZBP;LA MOLINA;AV DE LOS CONDORES 511 MZ L LT 5 UR;-12.101958;-76.945791;XS
MOD;204622;11558699;TIENDAS TAMBO SAC;TAMBO FRESNOS;ZBP;LA MOLINA;AV A MZ B LT 15 URB VALLE DE LA MO;-12.101388;-76.9430523;XS
MOD;204622;11701814;TIENDAS TAMBO SAC;TAMBO FRESNOS-C13;ZBP;LA MOLINA;AV LOS FRESNOS SEC 1-2 MZ 14 LT 1 U;-12.1038937;-76.94145;XS
FSE;204622;11761512;CORPORACION MENDOZA SAC;;ZCE;LA MOLINA;AV LOS FRESNOS MZ A LT 11 URB PORTA;-12.1002433;-76.94315;XS
FSE;204622;11733667;SILVAT SAC;;ARY;LA MOLINA;CA MONTE REAL 110;-12.0750458;-76.9265641;MV
FSE;204622;11644479;CLAUDIA LIVING SAC;PAND. ABIGAIL;KG3;LA MOLINA;CAL LOS PORTALES NRO 101 URB LOS PO;-12.08484;-76.93232;MV
FSE;204622;6340741;REPSOL COMERCIAL SAC;EL SAUCE;ZBO;LA MOLINA;AV LA UNIVERSIDAD 1880  URB;-12.08509;-76.9226;MV
FSE;204622;11682572;LACUCHI EIRL;PARTY SNACKS;ZBN;LA MOLINA;CA 11 - 374 URB RINCONADA BAJA;-12.0851173;-76.9292472;MV
FSE;204622;11757851;FRANQUICIA LEÃ‘A Y CARBON EIRL;LEÃ‘A Y CARBON;ZCE;LA MOLINA;OTR LA MOLINA SN INT 10 URB MUSA;-12.085586;-76.8886055;MV
FSE;204622;6396457;COESTI SA;RINCONADA;ZBO;LA MOLINA;RINCONADA DEL LAGO MZ J LT 21;-12.08527;-76.9268;MV
MOD;204622;11663209;DELIVERY HERO DMART PERU SAC;;ZBP;LA MOLINA;AV. LA UNIVERSIDAD 1848 LOCAL A URB;-12.08258;-76.92828;MV
MOD;204622;11670077;MOUSTACHE BEAMS SAC;RAPPI TAHITI;ZBP;LA MOLINA;CA TAHITI 178 LA PLANICIE;-12.0768593;-76.9174083;MV
MOD;204622;11557353;TIENDAS TAMBO SAC;TAMBO LAESTANCIA;ZBP;LA MOLINA;JR SANTIAGO DE COMPOSTELA;-12.0867908;-76.9354984;MV
MOD;204622;11690360;TIENDAS TAMBO SAC;TAMBO MOLICENTRO;ZBP;LA MOLINA;AV LA MOLINA 2832  A15 MZ D LOTE 02;-12.0827673;-76.9280463;MV
MOD;204622;11694245;TIENDAS TAMBO SAC;TAMBO RINCONADA;ZBP;LA MOLINA;AV LA MOLINA 3090 - 3096 URBANIZACI;-12.0852584;-76.9243828;MV
MOD;204622;11694246;TIENDAS TAMBO SAC;TAMBO SAMOA-LAMOLINA;ZBP;LA MOLINA;JR SAMOA 353 TIENDA 1-2 URB. EL SOL;-12.0830605;-76.8981034;MV
MOD;204622;11713600;CADENA DE COMERCIO PERU SAC;OXXO BAHAMAS;ZBP;LA MOLINA;CA LAS BAHAMAS 199 TDA 16 URB EL SO;-12.0837843;-76.8980631;MV
FSE;204622;11695909;FRANQUICIAS ALIMENTARIAS SA;T.G.I FRIDAY'S MONITOR;KF2;LA MOLINA;AV LAS PALMERAS MZ B1 LT 14;-12.0828423;-76.9705077;MV
FSE;204622;11700530;BIOK EIRL;;ARY;LA MOLINA;AV LAS PALMERAS 325;-12.0772229;-76.9712879;MV
FSE;204622;11750451;COESTI SA;PRIMAX;ZBO;LA MOLINA;JR ANTONIO 338 URB PARQUE MONTERRIC;-12.0689176;-76.9685486;MV
FSE;204622;11719820;INVESTMENTS AND GAME SAC;;ASA;LA MOLINA;AV JAVIER PRADO ESTE 5235 URB. CAMA;-12.0778734;-76.9653422;MV
FSE;204622;11718269;INVERSIONES RIWAY SAC;HORNERO LA MOLINA;ZBE;LA MOLINA;AV EL GOLF LOS INCAS 408;-12.0765791;-76.9634008;MV
FSE;204622;11716690;COESTI SA;LISTO ICPNA;ZBO;LA MOLINA;AV JAVIER PRADO ESTE 4625;-12.0832429;-76.9725217;MV
FSE;204622;6346593;COESTI SA;MONTERRICO;ZBO;LA MOLINA;AV LA MOLINA 580;-12.06438;-76.96243;MV
FSE;204622;6346594;COESTI SA;UNIVERSIDAD;ZBO;LA MOLINA;AV LA UNIVERSIDAD 1275;-12.06899;-76.97389;MV
FSE;204622;6346595;COESTI SA;E/S CAMACHO;ZBO;LA MOLINA;AV JAVIER PRADO ESTE 4885;-12.07762;-76.96916;MV
FSE;204622;6346596;COESTI SA;LISTO FRUTALES;ZBO;LA MOLINA;AV LOS FRUTALES ESQ. CON LA FONTANA;-12.07384;-76.96653;MV
FSE;204622;6409354;COESTI SA;LA FONTANA;ZBO;LA MOLINA;AV LA MOLINA TDA 1027;-12.06914;-76.96006;MV
FSE;204622;6340743;REPSOL COMERCIAL SAC;STOP;ZBO;LA MOLINA;AV JAVIER PRADO ESTE 5323 RE. MONT;-12.07537;-76.96444;MV
FSE;204622;6395786;REPSOL COMERCIAL SAC;LA MOLINA;ZBO;LA MOLINA;AV LA MOLINA 448 URB EL ARTESANO;-12.0617807;-76.9615108;MV
MOD;204622;11669042;DELIVERY HERO DMART PERU SAC;PEDIDOS YA LA MOLINA 2;ZBP;LA MOLINA;AV LA MOLINA 536;-12.0638255;-76.9605353;MV
MOD;204622;6392066;TIENDAS TAMBO SAC;TAMBO CORREGIDOR;ZBP;LA MOLINA;AV ALAMEDA DEL CORREGIDOR 1684;-12.07304;-76.96762;MV
MOD;204622;6417219;TIENDAS TAMBO SAC;TAMBO CONSTRUCTORES;ZBP;LA MOLINA;AV. LOS CONSTRUCTORES 1181-A;-12.06343;-76.96156;MV
MOD;204622;6421858;TIENDAS TAMBO SAC;TAMBO FONTANA;ZBP;LA MOLINA;AV. JUAN PASCAL PRINGLES;-12.08792;-76.96632;MV
MOD;204622;6432224;TIENDAS TAMBO SAC;TAMBO CELIMA;ZBP;LA MOLINA;AV. CONSTRUCTORES NRO. 107;-12.0675851;-76.9580812;MV
MOD;204622;11706521;CADENA DE COMERCIO PERU SAC;OXXO ENTOMOLOGOS;ZBP;LA MOLINA;URB LAS ACACIAS DE MONTERRICO MZ P;-12.0684057;-76.957394;MV
MOD;204622;11710368;CADENA DE COMERCIO PERU SAC;OXXO ALTAMIRA;ZBP;LA MOLINA;AV LOS FRUTALES 776 URB. LOS CACTUS;-12.0683183;-76.9647683;MV
MOD;204622;11711971;CADENA DE COMERCIO PERU SAC;OXXO BUCARE;ZBP;LA MOLINA;AV JAVIER PRADO ESTE 5299 TDA 3 URB;-12.0764333;-76.9644814;MV
FSE;204622;11596580;IDEAS Y MAS IDEAS SAC;PROMOS CHICKEN LOVERS BAR;WA4;LA MOLINA;AV PROLONGACION JAVIER PRADO 5510;-12.0738343;-76.9609078;MV
MOD;204622;11713603;CADENA DE COMERCIO PERU SAC;OXXO HIGUERAS;ZBP;LA MOLINA;AV LA MOLINA 702 MZ B LT 01  (EX AV;-12.0666801;-76.959243;MV
MOD;204622;11714757;CADENA DE COMERCIO PERU SAC;OXXO INDUSTRIAL;ZBP;LA MOLINA;AV LOS FRUTALES 566 TDA 1 MZ A1 LT;-12.0651286;-76.9649709;MV
FSE;204622;11735453;CONSORCIOS Y NEGOCIOS ATLANTIC;;ZBN;LA MOLINA;AV JAVIER PRADO ESTE 5910 URB LA FO;-12.0723313;-76.9571504;LJ
FSE;204622;11729464;COOKIE REPUBLIC SAC;;ZBN;LA MOLINA;AV LA FONTANA 458 TDA 1082  CENTRO;-12.0733864;-76.9552312;LJ
FSE;204622;11632687;RESTOINVESTMENTS SAC;AMORE;ZBQ;LA MOLINA;AV LA FONTANA 1125;-12.0728105;-76.9442724;LJ
FSE;204622;6340469;UNIVERSIDAD SAN IGNACIO DE LOY;;ARY;LA MOLINA;AV LA FONTANA 550;-12.073391;-76.953799;LJ
FSE;204622;11728394;GASTRO INVERSIONES 2020 SAC;;KF2;LA MOLINA;AV LOS INGENIEROS 959;-12.0727654;-76.9480608;LJ
FSE;204622;11755854;GRUPO ONCE SAC;DON MAMINO;KG3;LA MOLINA;AV LA FONTANA 462 INT 1030 URB SAN;-12.0732841;-76.9546288;LJ
FSE;204622;11698566;STARFOOD PERU SAC;MAMMA TOMATO;WA4;LA MOLINA;AV LA FONTANA N 1233 URB PABLO BONE;-12.0728154;-76.9422134;LJ
FSE;204622;11680118;JORDAN & JORDAN INVERSIONES SA;PRODUCTORES DE FIORI;ZAY;LA MOLINA;AV FLORA TRISTAN 682 STA PATRICIA I;-12.0674819;-76.9434658;LJ
FSE;204622;11677058;INVERSIONES CHARRUA SAC;;ZBE;LA MOLINA;AV JAVIER PRADO ESTE 5898 URB LA FO;-12.0725596;-76.9573246;LJ
FSE;204622;11717755;PALOMINO LLANOS OLINDA KARINA;;ZBQ;LA MOLINA;AV FLORA TRISTAN 934;-12.0632926;-76.9456042;LJ
FSE;204622;11682089;FOODOLOGY PERU SAC;;ZCE;LA MOLINA;AV JAVIER PRADO ESTE 6591 URB SANTA;-12.0680451;-76.9471725;LJ
FSE;204622;6360621;SINESA SA;LA QUINTA ESTACION;WA4;LA MOLINA;AV LOS CONSTRUCTORES 755;-12.0630323;-76.9512687;LJ
FSE;204622;11722067;SILVAT SAC;;ARY;LA MOLINA;AV LA FONTANA 755;-12.0738691;-76.950668;LJ
FSE;204622;11722653;SILVAT SAC;;ARY;LA MOLINA;AV LA FONTANA 755;-12.0736849;-76.9506251;LJ
FSE;204622;11684883;SW FRANQUICIAS ANDINAS SAC;SUBWAY;KF2;LA MOLINA;AV JAVIER PRADO ESTE 6310 LA RIVIER;-12.0699591;-76.9508772;LJ
FSE;204622;11680994;ORGANIZACION FUTURO SAC;ORFUSAC;ZBN;LA MOLINA;AV JAVIER PRADO ESTE 6651 URB SANTA;-12.0677462;-76.9467003;LJ
FSE;204622;6346592;COESTI SA;LA MOLINA;ZBO;LA MOLINA;AV JAVIER PRADO ESTE 6310;-12.06992;-76.95314;LJ
FSE;204622;6347623;REPSOL COMERCIAL SAC;LA ROTONDA;ZBO;LA MOLINA;AV LA UNIVERSIDAD 210;-12.0753904;-76.9550986;LJ
MOD;204622;6405027;TIENDAS TAMBO SAC;TAMBO FLORA TRISTAN;ZBP;LA MOLINA;AV D MZ A1 LT 2 URB SANTA PATRICIA;-12.06991;-76.9443;LJ
MOD;204622;11555552;TIENDAS TAMBO SAC;TAMBO TOULON;ZBP;LA MOLINA;CA 12 MZ L-6 LT 1;-12.0731037;-76.9527011;LJ
MOD;204622;11558604;CADENA DE COMERCIO PERU SAC;OXXO-FLORA TRISTAN-50FLO;ZBP;LA MOLINA;AV FLORA TRISTAN 474 LA MOLINA;-12.0704621;-76.9439556;LJ
MOD;204622;11573457;TIENDAS TAMBO SAC;TAMBO MELGAREJO;ZBP;LA MOLINA;AV MELGAREJO 596  TDA. 1 - PRIMER;-12.07008;-76.93787;LJ
MOD;204622;11580776;TIENDAS TAMBO SAC;TAMBO HUAROCHIRI-C4;ZBP;LA MOLINA;AV HUAROCHIRI 405;-12.06056;-76.942549;LJ
MOD;204622;11670284;MOUSTACHE BEAMS SAC;RAPPI LOS JILGUEROS;ZBP;LA MOLINA;CA JILGUEROS 209;-12.071422;-76.9536077;LJ
FSE;204622;11761511;CORPORACION MENDOZA SAC;;ZCE;LA MOLINA;AV JAVIER PRADO 7050;-12.0659993;-76.9422596;LJ
FSE;204622;11761513;CORPORACION MENDOZA SAC;;ZCE;LA MOLINA;AV JAVIER PRADO ESTE 6303 URB LA RI;-12.0684871;-76.9513041;LJ
FSE;210372;6362516;SODEXO PERU SAC;CLINICA INTERNACIONAL LIMA;ZBO;LIMA;AV GARCILAZO DE LA VEGA 1420;-12.0584139;-77.0384285;X
FSE;210371;6362517;SODEXO PERU SAC;CLINICA INTERNACIONAL SAN BORJA;ZBO;SAN BORJA;AV GUARDIA CIVIL 401;-12.0926648;-77.0090474;JS
FSE;210371;11652032;SODEXO PERU SAC;CLINICA SANA;ZBO;SAN BORJA;AV GUARDIA CIVIL 337;-12.09216;-77.00844;JS
FSE;210374;11674332;SODEXO PERU SAC;CLINICA JP;ZBO;SAN ISIDRO;URB JARDIN AV JAVIER PRADO ESTE 4;-12.0911807;-77.0284634;LXV
FSE;210375;11692876;SODEXO PERU SAC;SODEXO CLINICA DELGADO;ZBO;MIRAFLORES;AV ANGAMOS OESTE 456 498;-12.1137847;-77.0331168;MXJVS
FSE;210374;11697084;SODEXO PERU SAC;SODEXO CLI SAN FELIPE;ZBO;JESUS MARIA;AV GREGORIO ESCOBEDO 650 RES SAN F;-12.0859541;-77.0541079;XS
FSE;210371;11707035;SODEXO PERU SAC;CLINICA ONCOSALUD;ZBO;SAN BORJA;AV GUARDIA CIVIL 227 1ERA ZONA (N 2;-12.0906894;-77.0075699;JS
FSE;210371;11710644;SODEXO PERU SAC;CLINICA GUARDIA CIVIL;ZBO;SAN ISIDRO;AV GUARDIA CIVIL 368 URB CORPAC;-12.0919523;-77.008995;LXV
FSE;210369;6340380;COESTI SA;GRANADA;ZBO;SANTIAGO DE SURCO;AV MARISCAL CASTILLA 905;-12.13525;-77.00936;JS
FSE;210374;6346589;COESTI SA;LISTO HUIRACOCHA;ZBO;JESUS MARIA;AV GREGORIO ESCOBEDO 410-416;-12.08402;-77.05408;XS
FSE;210374;6346590;COESTI SA;E/S PERSHING;ZBO;JESUS MARIA;AV JOSE FAUSTINO SANCHEZ CARRION 47;-12.08910145;-77.05892227;XS
FSE;210371;6346597;COESTI SA;CANADA GNV-GLP;ZBO;LA VICTORIA;AV CANADA CDRA.11 ESQ.ALZAMORA STA.;-12.08351;-77.01482;X
FSE;210371;6346598;COESTI SA;JAVIER PRADO;ZBO;LA VICTORIA;AV JAVIER PRADO 1059;-12.08613;-77.02098;X
FSE;204576;6346599;COESTI SA;DUEÑAS;ZBO;LIMA;AV ARGENTINA 1815;-12.0457;-77.0654;X
FSE;204576;6346600;COESTI SA;SUDAMERICANO GNV-G;ZBO;LIMA;AV COLONIAL 871;-12.04698;-77.05517;X
FSE;210374;6346602;COESTI SA;SALAVERRY;ZBO;LINCE;AV GRAL.CESAR CANEVARO 1598;-12.08535;-77.05065;LXV
FSE;210375;6346604;COESTI SA;ARMENDARIZ;ZBO;MIRAFLORES;AV ARMENDARIZ 575;-12.13502;-77.02747;MXJVS
FSE;210375;6346606;COESTI SA;SAN ANTONIO;ZBO;MIRAFLORES;AV PASEO DE LA REPUBLICA 5789;-12.12345;-77.02535;MXJVS
FSE;210363;6346607;COESTI SA;AULY;ZBO;SAN JUAN DE LURIGANCHO;AV PROC D LA INDEPENDEN MZ;-11.98415;-77.00628;LJ
FSE;210368;6346609;COESTI SA;E/S IGARZA;ZBO;SAN MARTIN DE PORRES;AV TOMAS VALLE 1981;-12.01308;-77.0875;LJ
FSE;205356;6346610;COESTI SA;AREQUIPA;ZBO;SAN ISIDRO;AV AREQUIPA 3325;-12.098776;-77.032197;LXV
FSE;205356;6346611;COESTI SA;CASTAÑOS;ZBO;SAN ISIDRO;AV JAVIER PRADO OESTE 1895;-12.09495;-77.05094;LXV
FSE;205356;6346612;COESTI SA;FLORA TRISTAN;ZBO;SAN ISIDRO;AV JAVIER PRADO OESTE 2504;-12.093671;-77.057231;LXV
FSE;205356;6346613;COESTI SA;REPUBLICA;ZBO;SAN ISIDRO;AV PASEO DE LA REPUBLICA 3890;-12.1026416;-77.0277036;LXV
FSE;205356;6346614;COESTI SA;LISTO MARBELLA;ZBO;SAN ISIDRO;AV AUGUSTO PEREZ ARANIBAR 2199;-12.1034251;-77.0583172;LXV
FSE;204571;6346615;COESTI SA;EL CARMELO;ZBO;SAN MIGUEL;AV LA MARINA 3112;-12.07547;-77.0992;MJ
FSE;204571;6346616;COESTI SA;LA MARINA;ZBO;SAN MIGUEL;AV LA MARINA 2185;-12.07832;-77.08643;MJ
FSE;210369;6346617;COESTI SA;FERRARI;ZBO;SANTIAGO DE SURCO;AV TOMAS MARZANO 5010;-12.148;-76.98877;JS
FSE;210371;6346618;COESTI SA;HIPODROMO;ZBO;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4350;-12.0843711;-76.9746364;JS
FSE;210369;6346619;COESTI SA;MONTREAL;ZBO;SANTIAGO DE SURCO;AV CAMINOS DEL INCA 2017;-12.1298;-76.98405;JS
FSE;210371;6346620;COESTI SA;VALLE HERMOSO;ZBO;SANTIAGO DE SURCO;AV PRIMAVERA 1159 VALLE HERMOSO;-12.11006;-76.97913;JS
FSE;210369;6346621;COESTI SA;CHAMA;ZBO;SANTIAGO DE SURCO;AV SANTIAGO DE SURCO 3291;-12.13185;-77.00111;JS
FSE;210369;6346622;COESTI SA;LISTO HIGUERETA;ZBO;SANTIAGO DE SURCO;AV BENAVIDES 4295;-12.12797;-76.99289;JS
FSE;210375;6346623;COESTI SA;EL ROSARIO;ZBO;SURQUILLO;AV TOMAS MARZANO 1008;-12.11299;-77.01432;LXV
FSE;210375;6346624;COESTI SA;LISTO PRIMAVERA;ZBO;SURQUILLO;AV ANGAMOS ESTE 2398;-12.1123067;-77.0057942;LXV
FSE;204576;6346832;COESTI SA;E/S TINGO MARIA;ZBO;BREÑA;AV TINGO MARIA 1174;-12.05932;-77.05932;MXV
FSE;210371;6346834;COESTI SA;SAN LUIS GNV;ZBO;SAN LUIS;AV NICOLAS AYLLON 1340;-12.0643184;-76.9953975;MX
FSE;210371;6347463;COESTI SA;ARRIOLA;ZBO;LA VICTORIA;AV NICOLAS ARRIOLA 740;-12.08257;-77.01461;X
FSE;205859;6349574;COESTI SA;ÑAÑA;ZBO;CHACLACAYO;AV NICOLAS AYLLON 1500;-11.98375;-76.80644;MV
FSE;204571;6354818;COESTI SA;LA PAZ;ZBO;SAN MIGUEL;LA PAZ 915;-12.08642646;-77.09190081;MJ
FSE;204571;6356787;COESTI SA;PANDO;ZBO;SAN MIGUEL;AV LA MARINA 2001 ESQUINA CON AV;-12.07887;-77.08233;MJ
FSE;210375;6356897;COESTI SA;BENAVIDES 2;ZBO;MIRAFLORES;AV BENAVIDES 433;-12.12457;-77.02917;MXJVS
FSE;210368;6357420;COESTI SA;PLAZA NORTE;ZBO;INDEPENDENCIA;AV ALFREDO MENDIOLA 1400;-12.00683;-77.05458;MV
FSE;210375;6360837;COESTI SA;RICARDO PALMA;ZBO;MIRAFLORES;AV RICARDO PALMA 292 A;-12.11942;-77.02719;MXJVS
FSE;210371;6360993;COESTI SA;SAN LUIS 2;ZBO;SAN BORJA;AV SAN LUIS 2605;-12.100823;-76.994462;JS
FSE;210375;6396006;COESTI SA;SCHELL;ZBO;MIRAFLORES;CA SHELL 324;-12.12326;-77.02877;MXJVS
FSE;210368;6396475;COESTI SA;ZARATE;ZBO;SAN JUAN DE LURIGANCHO;AV PROC DE LA INDEPENDENCIA 104;-12.03141;-77.01303;LJ
FSE;204565;6409355;COESTI SA;TRAPICHE;ZBO;COMAS;AV ALTO CENEPA 697;-11.92098;-77.06304;MV
FSE;204565;6409464;COESTI SA;TRAPICHE 2;ZBO;COMAS;MZ Y LT 27 EX FUNDO CHACRA CERRO;-11.9209929;-77.062256;MV
FSE;210375;6412036;COESTI SA;PARDO 1;ZBO;MIRAFLORES;PARDO 680;-12.11881;-77.03629;MXJVS
FSE;210351;6424373;COESTI SA;COLLIQUE;ZBO;COMAS;AV.UNIVERSITARIA MZ D LOTE 34-35;-11.95575;-77.0616;MV
FSE;210371;6424380;COESTI SA;AVIACION;ZBO;SAN BORJA;AV AVIACION 2380;-12.0865848;-77.0040628;JS
FSE;210374;6427243;COESTI SA;AREQUIPA 2;ZBO;LINCE;AV AREQUIPA 1900;-12.08354;-77.03582;LXV
FSE;210350;6432335;COESTI SA;QUILCA;ZBO;CALLAO;AV QUILCA CDRA 10 MZ A LT 1-2;-12.0219;-77.09137;MJ
FSE;210370;6433901;COESTI SA;SANTA ANITA;ZBO;SANTA ANITA;JR MINERIA 122;-12.05676;-76.97401;LV
FSE;210375;6436956;COESTI SA;LISTO SURQUILLO;ZBO;SURQUILLO;AV REPUBLICA DE PANAMA 5185;-12.11599;-77.02027;LXV
FSE;210368;11557165;COESTI SA;LISTO AEROPUERTO;ZBO;CALLAO;AV  ELMER FAUCETT S/N;-12.0304077;-77.1019565;MJ
FSE;204571;11562028;COESTI SA;PLAZA SAN MIGUEL;ZBO;SAN MIGUEL;CA C.C. PLAZA SAN MIGUEL 2000-2100;-12.0768;-77.08219;MJ
FSE;204570;11562190;COESTI SA;MINKA;ZBO;CALLAO;CC MINKA;-12.047897;-77.1118257;MJ
FSE;204571;11562819;COESTI SA;FAUCETT;ZBO;SAN MIGUEL;AV ELMER FAUCETT 384;-12.06715;-77.09723;MJ
FSE;204570;11562820;COESTI SA;LA PERLA;ZBO;LA PERLA;AV LA PAZ  2326;-12.0758758;-77.114577;M
FSE;205356;11562822;COESTI SA;E/S MAGDALENA;ZBO;MAGDALENA DEL MAR;AV BRASIL 4191-4193;-12.09718;-77.07151;MV
FSE;204576;11562823;COESTI SA;SUCRE;ZBO;PUEBLO LIBRE;AV MARISCAL ANTONIO DE SUCRE  1070;-12.081352;-77.066703;J
FSE;205356;11562967;COESTI SA;ORRANTIA;ZBO;MAGDALENA DEL MAR;AV EL EJERCITO 965 - 967 URB SAN F;-12.10034;-77.06214;MV
FSE;210375;11562968;COESTI SA;ALEGRIA;ZBO;MIRAFLORES;AV BENAVIDES 2116;-12.12766;-77.0105;MXJVS
FSE;210371;11562971;COESTI SA;SAN ISIDRO;ZBO;SAN ISIDRO;AV REPUBLICA DE PANAMA 3690-3696;-12.1015096;-77.0190731;LXV
FSE;210371;11562972;COESTI SA;CASTILLA;ZBO;LA VICTORIA;AV NICOLAS ARRIOLA 295 URB SANTA C;-12.08721;-77.01642;X
FSE;210374;11562973;COESTI SA;RISSO;ZBO;LINCE;AV ARENALES 2100;-12.08583;-77.03556;LXV
FSE;210355;11567973;COESTI SA;SJL SAN ANTONIO;ZBO;SAN JUAN DE LURIGANCHO;AV LURIGANCHO ALT CUADRA 11 MZ B;-12.01689;-76.99497;LJ
FSE;204576;11579719;COESTI SA;E/S LISTO GARZON;ZBO;JESUS MARIA;AV GENERAL GARZON  1380 JESUS  MAR;-12.07365;-77.05094;XS
FSE;210375;11579765;COESTI SA;PARDO 2;ZBO;MIRAFLORES;AV PARDO 384;-12.11891;-77.03222;MXJVS
FSE;210375;11579861;COESTI SA;LISTO COMANDANTE E;ZBO;MIRAFLORES;AV SV COMANDANTE ESPINAR 611 MIRAF;-12.11373;-77.03707;MXJVS
FSE;204576;11579862;COESTI SA;LISTO CATOLICA;ZBO;PUEBLO LIBRE;AV UNIVERSITARIA 1783;-12.07848;-77.08079;J
FSE;210368;11581710;COESTI SA;IZAGUIRRE;ZBO;LOS OLIVOS;AV CARLOS IZAGUIRRE 766;-11.99075;-77.07021;LJ
FSE;205356;11595081;COESTI SA;ARAMBURU 1;ZBO;SAN ISIDRO;AV ANDRES ARAMBURU 355;-12.102822;-77.0283149;LXV
